Sr_No,Date,Startup_Name,Domain,Idea_Type,Target_Market,Min_Budget_INR,Max_Budget_INR,Ideal_Team_Size,Market_Demand_Score,Competition_Level,Growth_Rate_Pct,Technical_Complexity,Execution_Difficulty,Environmental_Impact,Social_Impact_Score,Sustainability_Score,Success_Rate,Risk_Level,Failure_Reasons,City_Location,Lead_Investor,Investment_Stage,Amount_INR,Year
131,18/12/2024,NoCoder Plus,SaaS/Technology,API Platform,SMB,5000000,50000000,5,87,High,32.7,High,55,Low,68,69,43,Medium,Pricing pressure,Chennai,Tiger Global,Series A,1111944617,2024
132,01/02/2025,NewsFlash Solutions,Media/Entertainment,Audio Content,Urban,5000000,150000000,60,68,High,21.1,Medium,66,Low,73,70,17,High,Monetisation difficulty,Hyderabad,Lightspeed,Series B,2681530690,2025
133,01/01/2024,APIBridge Hub,SaaS/Technology,DevTools,Pan-India,5000000,50000000,15,82,High,22.4,High,59,Low,63,84,39,Medium,Long sales cycles,Delhi,Tiger Global,Series C,7233476744,2024
134,26/10/2025,APIBridge Solutions,SaaS/Technology,AI/ML Platform,Startups,5000000,50000000,50,95,High,25.2,High,64,Low,69,72,33,Medium,Pricing pressure,Delhi,Sequoia,Series D,35354313659,2025
135,23/05/2025,BrainBox Network,EdTech,Exam Prep,Urban,1000000,30000000,5,90,High,26.5,Low,47,Low,90,84,22,Medium,High CAC,Mumbai,Sequoia Capital,Seed,287244092,2025
136,22/01/2025,APIBridge Plus,SaaS/Technology,No-Code Builder,Global,10000000,50000000,8,89,High,23.3,High,56,Low,69,68,38,Medium,Churn,Bangalore,Sequoia,Series B,3473285622,2025
137,09/05/2025,StreamNow AI,Media/Entertainment,Audio Content,Regional Language,20000000,30000000,5,71,High,16.3,Medium,61,Low,68,69,26,High,Monetisation difficulty,Delhi,Kalaari,Series B,2226273326,2025
138,04/01/2024,WindTech Technologies,CleanTech,Energy Storage,Government,100000000,400000000,8,81,Low,34.3,High,74,Low,89,92,23,High,Policy dependence,Hyderabad,SoftBank,Series C,12861172503,2024
139,15/02/2024,DataPulse Pro,SaaS/Technology,Cloud Infrastructure,Enterprise,2000000,200000000,50,82,High,24.7,High,58,Low,62,79,45,Medium,Churn,Hyderabad,Matrix,Series D,32356426102,2024
140,02/11/2024,DevFlow AI,SaaS/Technology,HR Tech,Startups,2000000,10000000,25,84,High,39.1,High,60,Low,66,74,32,Medium,Long sales cycles,Bangalore,Lightspeed,Series C,22871000116,2024
141,01/02/2025,CareerFirst AI,EdTech,Career Platform,Tier 2 Cities,1000000,100000000,3,89,High,22.6,Low,58,Low,83,83,24,Medium,Post-COVID demand drop,Pune,Owl Ventures,Seed,115741772,2025
142,08/08/2025,NoCoder Pro,SaaS/Technology,HR Tech,Pan-India,5000000,500000000,8,91,High,33.0,High,67,Low,61,80,38,Medium,Pricing pressure,Bangalore,Accel,Series C,11748052039,2025
143,21/08/2024,BrainBox Labs,EdTech,Ed Games,Tier 2 Cities,1000000,100000000,25,90,High,16.2,Low,59,Low,86,83,33,Medium,High CAC,Delhi,Owl Ventures,Seed,402669982,2024
144,30/01/2024,AudioWorld Platform,Media/Entertainment,Gaming,Pan-India,1000000,5000000,30,69,High,23.9,Medium,61,Low,63,63,28,High,User retention,Hyderabad,Kalaari,Seed,63157897,2024
145,18/12/2024,EcoGrid Labs,CleanTech,Solar Rooftop,Industrial,2000000,2000000000,8,80,Low,51.3,High,71,Low,91,95,27,High,Long payback period,Pune,Blume,Series C,14801585583,2024
146,15/09/2024,LiveBuy Labs,E-Commerce,Used Goods Platform,Urban,20000000,200000000,30,80,High,14.2,Low,64,Medium,71,69,24,High,Flipkart/Amazon dominance,Bangalore,Tiger Global,Series D,21022043082,2024
147,10/10/2024,EcoStore Network,CleanTech,Energy Storage,Industrial,20000000,100000000,12,91,Low,49.1,High,66,Low,97,91,30,High,Long payback period,Ahmedabad,Blume,Seed,390134128,2024
148,13/07/2024,NewsFlash Platform,Media/Entertainment,Podcast,Youth,5000000,150000000,8,85,High,14.4,Medium,58,Low,70,56,26,High,User retention,Bangalore,Kalaari,Series B,4172876261,2024
149,23/09/2024,CarbonCut Labs,CleanTech,EV Manufacturing,Urban,100000000,400000000,40,81,Low,42.5,High,77,Low,96,89,33,High,High capex,Delhi,Blume,Series A,2012852086,2024
150,06/12/2024,AIPlatform Solutions,SaaS/Technology,API Platform,Global,500000,500000000,15,85,High,35.7,High,60,Low,78,73,43,Medium,Long sales cycles,Chennai,Accel,Series C,12766792536,2024
151,25/11/2024,TaxPilot Plus,FinTech,Stock Trading App,Pan-India,500000,20000000,6,86,High,23.3,Medium,58,Low,82,81,37,Medium,Regulatory challenges,Bangalore,Tiger Global,Seed,250625334,2024
152,16/12/2024,MindCare Network,HealthTech,Mental Health App,Urban,10000000,60000000,8,84,Medium,22.5,High,65,Low,94,88,27,Medium,Regulatory approvals,Pune,Lightspeed,Seed,304553057,2024
153,31/10/2025,SkillUp India,EdTech,Exam Prep,Rural,3000000,100000000,3,87,High,18.3,Low,49,Low,86,70,26,Medium,High CAC,Chennai,Accel,Series B,7403422874,2025
154,22/07/2024,NoCoder Platform,SaaS/Technology,Cybersecurity,Startups,2000000,200000000,25,86,High,24.9,High,72,Low,75,74,43,Medium,Churn,Bangalore,Accel,Seed,104091852,2024
155,10/01/2026,QuizGenius Technologies,EdTech,Language Learning,College Students,500000,100000000,8,78,High,21.0,Low,48,Low,85,71,35,Medium,High CAC,Chennai,WestBridge,Series B,2734664913,2026
156,02/12/2024,PharmaGo Pro,HealthTech,Health Insurance,Tier 1,500000,150000000,12,85,Medium,21.4,High,77,Low,92,80,38,Medium,Doctor onboarding,Hyderabad,Bessemer,Series A,2368025264,2024
157,25/11/2025,LiveStage Solutions,Media/Entertainment,Live Streaming,Youth,5000000,25000000,30,83,High,13.5,Medium,68,Low,69,53,16,High,User retention,Mumbai,Matrix,Series A,1883127822,2025
158,01/06/2024,PacknGo Hub,Logistics,Last Mile Delivery,Pan-India,5000000,2000000000,50,75,High,14.8,Medium,75,Medium,70,62,25,High,Asset intensity,Kolkata,Accel,Series A,1075921798,2024
159,19/11/2024,DevFlow Pro,SaaS/Technology,HR Tech,Global,10000000,500000000,5,90,High,31.9,High,57,Low,79,87,37,Medium,Pricing pressure,Hyderabad,Matrix,Series C,23099835540,2024
160,03/01/2026,WasteToWorth Technologies,CleanTech,Solar Rooftop,Pan-India,2000000,500000000,20,84,Low,43.7,High,76,Low,89,85,25,High,Policy dependence,Ahmedabad,Blume,Series C,8378665466,2026
161,20/04/2024,WindTech India,CleanTech,Waste Management,Urban,100000000,2000000000,80,91,Low,33.4,High,80,Low,88,93,21,High,Long payback period,Mumbai,SoftBank,Series C,8067259648,2024
162,12/09/2025,NewsFlash Plus,Media/Entertainment,News App,Youth,1000000,150000000,30,78,High,24.6,Medium,69,Low,59,56,21,High,Monetisation difficulty,Delhi,Kalaari,Series B,4926576736,2025
163,30/05/2025,HomeCure Network,HealthTech,Online Pharmacy,Tier 1,10000000,500000000,35,89,Medium,30.5,High,78,Low,97,72,33,Medium,Regulatory approvals,Hyderabad,Accel,Series A,576094974,2025
164,04/03/2024,ElderCare Labs,HealthTech,Mental Health App,Corporate Wellness,500000,150000000,20,83,Medium,27.4,High,72,Low,96,89,31,Medium,Regulatory approvals,Pune,Eight Roads,Series B,6013394784,2024
165,31/01/2026,LendEasy Platform,FinTech,Tax Filing,Bangalore,1000000,50000000,20,92,High,30.6,Medium,61,Low,76,74,35,Medium,High competition from incumbents,Mumbai,Sequoia Capital,Series A,1474332112,2026
166,18/09/2024,StreamNow Network,Media/Entertainment,Regional Content,Urban,300000,30000000,15,69,High,22.1,Medium,64,Low,70,70,23,High,User retention,Noida,Tiger Global,Series B,7504528516,2024
167,17/02/2025,SpaceHub Network,Real Estate,Online Broker,Tier 1,50000000,1000000000,20,74,Medium,10.2,Low,80,Medium,79,55,19,High,Regulatory complexity,Hyderabad,Nexus,Series B,5266798906,2025
168,26/01/2024,FreshRoute Network,AgriTech,Dairy Tech,Agri Cooperatives,8000000,300000000,4,74,Low,36.4,Medium,66,Low,90,94,19,Medium,Farmer digital literacy,Ahmedabad,Accel,Seed,87609620,2024
169,24/10/2025,TruckEasy Solutions,Logistics,Last Mile Delivery,E-Commerce,20000000,80000000,10,71,High,16.0,Medium,68,Medium,77,57,29,High,Thin margins,Chennai,Warburg Pincus,Series C,11266998853,2025
170,05/03/2024,StoryTell India,Media/Entertainment,Short Video,Tier 2,300000,150000000,15,70,High,15.7,Medium,69,Low,67,64,28,High,Monetisation difficulty,Hyderabad,Tiger Global,Series A,799612867,2024
171,24/11/2025,AgriPay Network,AgriTech,Farm Management SaaS,Agri Cooperatives,1000000,5000000,4,65,Low,31.2,Medium,72,Low,93,95,19,Medium,Seasonality,Nagpur,Accel,Series B,7414270443,2025
172,27/04/2024,DirectBuy Hub,E-Commerce,D2C Brand,Bharat,20000000,140000000,5,80,High,13.0,Low,70,Medium,65,61,20,High,Flipkart/Amazon dominance,Bangalore,Accel,Series B,5231484251,2024
173,02/08/2025,GenomeScan Network,HealthTech,Wearables,Senior Citizens,2000000,10000000,12,87,Medium,29.4,High,78,Low,89,83,27,Medium,Data privacy issues,Hyderabad,Lightspeed,Series C,16540371296,2025
174,05/07/2025,CareAI Labs,HealthTech,Online Pharmacy,Pan-India,500000,10000000,35,92,Medium,29.2,High,71,Low,85,89,29,Medium,Data privacy issues,Hyderabad,Eight Roads,Series A,1043159404,2025
175,02/04/2024,RentPro Network,Real Estate,Affordable Housing,Urban,10000000,200000000,80,69,Medium,12.5,Low,70,Medium,80,59,29,High,Regulatory complexity,Delhi,Elevation,Series A,1783773342,2024
176,14/06/2025,FlashDeal AI,E-Commerce,Reseller Platform,Urban,500000,10000000,15,75,High,19.0,Low,71,Medium,75,58,29,High,Unit economics,Chennai,DST Global,Series D,34694890194,2025
177,16/08/2024,PacknGo AI,Logistics,Fleet Management,Urban,50000000,2000000000,100,70,High,19.5,Medium,64,Medium,74,60,23,High,Thin margins,Hyderabad,GIC,Series B,3433532191,2024
178,04/12/2024,FleetPro Technologies,Logistics,Returns Management,E-Commerce,50000000,100000000,100,75,High,21.1,Medium,73,Medium,60,62,20,High,Thin margins,Kolkata,GIC,Series A,1853820073,2024
179,13/06/2025,FitLife Hub,HealthTech,Health Insurance,Pan-India,5000000,10000000,8,94,Medium,27.3,High,80,Low,98,87,27,Medium,Regulatory approvals,Chennai,Bessemer,Series A,2265700606,2025
180,11/03/2024,GameZone AI,Media/Entertainment,News App,Urban,300000,5000000,8,84,High,23.2,Medium,68,Low,59,55,17,High,User retention,Chennai,Kalaari,Seed,413989410,2024
181,18/06/2025,QuickRoute Network,Logistics,Last Mile Delivery,B2B,50000000,100000000,50,82,High,17.9,Medium,78,Medium,63,68,22,High,Asset intensity,Mumbai,Prosus,Seed,240163786,2025
182,16/06/2025,SkillUp AI,EdTech,School LMS,College Students,1000000,100000000,8,73,High,17.0,Low,65,Low,88,78,35,Medium,Content quality issues,Pune,Elevation Capital,Series B,3952831550,2025
183,22/07/2025,CommercialHub Labs,Real Estate,Construction Tech,Students,50000000,5000000000,12,68,Medium,15.5,Low,79,Medium,67,58,21,High,Regulatory complexity,Delhi,Elevation,Private Equity,115982941962,2025
184,06/03/2024,SmartClass Platform,EdTech,Coding Bootcamp,Pan-India,200000,100000000,15,89,High,23.5,Low,54,Low,81,75,32,Medium,High CAC,Bangalore,Elevation Capital,Series A,963139768,2024
185,22/06/2024,StreamNow Network,Media/Entertainment,Gaming,Pan-India,1000000,5000000,15,80,High,16.6,Medium,67,Low,67,70,18,High,Monetisation difficulty,Noida,Tiger Global,Seed,104906561,2024
186,12/09/2025,SocialShop Pro,E-Commerce,Subscription Box,Bharat,500000,200000000,10,85,High,17.1,Low,72,Medium,57,66,22,High,Unit economics,Chennai,Tiger Global,Series B,5896006643,2025
187,23/08/2025,CloudOps Pro,SaaS/Technology,ERP,Enterprise,500000,500000000,8,92,High,34.6,High,65,Low,73,79,44,Medium,Pricing pressure,Delhi,Sequoia,Series B,6140887510,2025
188,17/11/2024,APIBridge Platform,SaaS/Technology,IoT Platform,Enterprise,2000000,50000000,25,93,High,25.6,High,62,Low,68,74,35,Medium,Long sales cycles,Chennai,Accel,Series B,3013499803,2024
189,13/02/2024,CommercialHub Network,Real Estate,REITs,Pan-India,200000000,1000000000,40,70,Medium,17.8,Low,73,Medium,74,62,30,High,Regulatory complexity,Mumbai,Tiger Global,Private Equity,90332053834,2024
190,16/04/2025,SmartHome India,Real Estate,Co-working,Tier 1,200000000,1600000000,20,73,Medium,9.9,Low,73,Medium,69,63,25,High,Regulatory complexity,Delhi,Nexus,Series B,6366850117,2025
191,06/04/2025,CropAI Hub,AgriTech,Precision Farming,Agri Cooperatives,1000000,5000000,10,72,Low,30.9,Medium,72,Low,88,82,30,Medium,Last-mile connectivity,Hyderabad,Accel,Seed,165454332,2025
192,15/03/2026,WasteToWorth Labs,CleanTech,Energy Storage,Government,2000000,2000000000,8,80,Low,31.5,High,73,Low,95,98,23,High,Policy dependence,Pune,Accel,Series B,4558256483,2026
193,22/07/2024,StoryTell Hub,Media/Entertainment,Podcast,Urban,5000000,150000000,15,84,High,18.3,Medium,69,Low,57,64,24,High,User retention,Noida,Sequoia,Series A,1362792896,2024
194,14/06/2024,TutorAI Platform,EdTech,Coding Bootcamp,Tier 2 Cities,1000000,30000000,25,90,High,20.1,Low,59,Low,91,88,30,Medium,High CAC,Mumbai,Elevation Capital,Series A,2456569165,2024
195,15/04/2024,TruckEasy Technologies,Logistics,Returns Management,B2B,1000000,20000000,50,86,High,22.4,Medium,62,Medium,63,63,29,High,Thin margins,Hyderabad,Accel,Series C,14108157578,2024
196,05/02/2024,CreditBridge Network,FinTech,Digital Lending,Bangalore,5000000,50000000,20,89,High,20.3,Medium,72,Low,75,83,37,Medium,Regulatory challenges,Delhi,Nexus Venture,Series D,18531877692,2024
197,23/09/2024,LastMile Labs,Logistics,Last Mile Delivery,Pan-India,5000000,500000000,25,85,High,19.9,Medium,75,Medium,75,64,20,High,Asset intensity,Kolkata,Warburg Pincus,Series A,1464373568,2024
198,02/01/2026,ElderCare AI,HealthTech,Home Healthcare,Urban,5000000,10000000,20,87,Medium,26.2,High,73,Low,89,89,37,Medium,Doctor onboarding,Mumbai,Bessemer,Seed,169516857,2026
199,18/05/2025,GameZone Network,Media/Entertainment,OTT Platform,Urban,300000,5000000,8,71,High,15.7,Medium,59,Low,69,52,18,High,Content cost,Mumbai,Lightspeed,Series C,21786531006,2025
200,04/12/2024,MoneyMap Solutions,FinTech,Payment Gateway,Tier 1 Cities,5000000,50000000,6,81,High,33.2,Medium,63,Low,82,65,29,Medium,Trust deficit,Delhi,Tiger Global,Series C,14504313642,2024
201,02/02/2025,AIPlatform Labs,SaaS/Technology,API Platform,Pan-India,500000,10000000,15,89,High,33.5,High,61,Low,71,69,34,Medium,Long sales cycles,Delhi,Accel,Series C,17280606228,2025
202,13/03/2026,LiveStage Hub,Media/Entertainment,Audio Content,Tier 2,300000,30000000,8,83,High,13.2,Medium,65,Low,75,53,15,High,User retention,Noida,Lightspeed,Seed,129885670,2026
203,22/01/2024,PureGoods AI,E-Commerce,Niche Retail,Tier 2 Cities,5000000,10000000,30,86,High,17.6,Low,72,Medium,70,56,27,High,Logistics costs,Delhi,DST Global,Series B,7884609076,2024
204,08/07/2025,SoilSmart Pro,AgriTech,Farm Management SaaS,Agri Cooperatives,8000000,20000000,4,84,Low,35.7,Medium,67,Low,90,80,28,Medium,Last-mile connectivity,Delhi,Beenext,Series C,13360506428,2025
205,14/02/2024,BrainBox Solutions,EdTech,Online Tutoring,Urban,200000,100000000,5,73,High,15.4,Low,65,Low,92,85,30,Medium,Content quality issues,Delhi,Owl Ventures,Seed,298362200,2024
206,16/10/2025,CloudOps Network,SaaS/Technology,AI/ML Platform,SMB,5000000,10000000,50,86,High,31.5,High,57,Low,69,70,34,Medium,Pricing pressure,Bangalore,Sequoia,Series A,948329206,2025
207,03/02/2026,TruckEasy Hub,Logistics,Fleet Management,E-Commerce,50000000,250000000,15,87,High,18.4,Medium,70,Medium,65,72,29,High,Asset intensity,Bangalore,Warburg Pincus,Series D,36737376180,2026
208,12/07/2025,GameZone AI,Media/Entertainment,Podcast,Tier 2,5000000,500000000,30,80,High,12.0,Medium,56,Low,64,52,23,High,Content cost,Mumbai,Matrix,Series B,1913211118,2025
209,07/08/2025,BuildTech Solutions,Real Estate,Co-living,Urban,200000000,1000000000,12,69,Medium,10.6,Low,72,Medium,69,63,30,High,Long cycles,Pune,Sequoia,Series D,29981345088,2025
210,07/04/2024,StoryTell Labs,Media/Entertainment,OTT Platform,Regional Language,20000000,60000000,15,79,High,23.4,Medium,68,Low,68,55,28,High,Content cost,Mumbai,Kalaari,Series C,11332275980,2024
211,05/06/2024,ShopSmart AI,E-Commerce,Reseller Platform,Bharat,500000,50000000,30,81,High,19.9,Low,59,Medium,59,60,19,High,Unit economics,Jaipur,DST Global,Seed,321363026,2024
212,26/07/2025,AutoBot Pro,SaaS/Technology,No-Code Builder,Startups,2000000,50000000,8,83,High,26.8,High,68,Low,70,86,30,Medium,Long sales cycles,Mumbai,Lightspeed,Series B,5531152725,2025
213,28/03/2025,StoryTell Solutions,Media/Entertainment,Regional Content,Pan-India,1000000,30000000,15,72,High,21.9,Medium,57,Low,58,53,18,High,Monetisation difficulty,Delhi,Lightspeed,Seed,282193928,2025
214,27/07/2024,ResellerNet Plus,E-Commerce,Used Goods Platform,Bharat,20000000,50000000,5,84,High,17.8,Low,71,Medium,56,58,20,High,Logistics costs,Mumbai,Nexus,Series E,75907338904,2024
215,20/04/2024,SolarEase Labs,CleanTech,Smart Grid,Pan-India,100000000,800000000,40,92,Low,32.2,High,71,Low,96,92,20,High,High capex,Mumbai,Blume,Series B,3429586148,2024
216,29/08/2024,FreshRoute Labs,AgriTech,Farm Management SaaS,Pan-India,8000000,56000000,6,69,Low,27.5,Medium,72,Low,95,82,19,Medium,Last-mile connectivity,Ahmedabad,Beenext,Series A,2022644298,2024
217,30/07/2024,NutriFit Solutions,HealthTech,Health Insurance,Corporate Wellness,2000000,50000000,12,84,Medium,25.2,High,69,Low,95,90,27,Medium,Doctor onboarding,Chennai,Accel,Series D,9671700625,2024
218,02/02/2026,AIPlatform Labs,SaaS/Technology,CRM,Pan-India,500000,50000000,8,82,High,35.7,High,63,Low,79,86,35,Medium,Pricing pressure,Hyderabad,Accel,Seed,293394117,2026
219,07/07/2024,WindTech Pro,CleanTech,EV Manufacturing,Pan-India,5000000,100000000,12,76,Low,40.2,High,65,Low,92,91,27,High,Long payback period,Delhi,Blume,Seed,165784156,2024
220,14/09/2025,InsureNow AI,FinTech,Digital Lending,Bangalore,500000,5000000,12,89,High,32.1,Medium,56,Low,77,81,36,Medium,Regulatory challenges,Pune,Sequoia Capital,Series C,8430374010,2025
221,17/04/2025,CropAI AI,AgriTech,Crop Insurance,Agri Cooperatives,300000,20000000,18,85,Low,29.2,Medium,76,Low,86,83,30,Medium,Last-mile connectivity,Delhi,Lightspeed,Series C,8184448892,2025
222,13/09/2024,TutorAI Solutions,EdTech,Exam Prep,Pan-India,200000,100000000,8,72,High,21.8,Low,57,Low,85,82,30,Medium,High CAC,Mumbai,Accel,Series B,3674592015,2024
223,22/10/2024,AIPlatform Solutions,SaaS/Technology,ERP,Pan-India,2000000,10000000,50,94,High,26.6,High,69,Low,75,83,45,Medium,Long sales cycles,Mumbai,Matrix,Series A,2265201527,2024
224,07/09/2024,SafeVault Labs,FinTech,Tax Filing,Delhi NCR,1000000,5000000,6,79,High,18.9,Medium,66,Low,71,69,41,Medium,High competition from incumbents,Pune,Nexus Venture,Series B,2219503313,2024
225,07/11/2025,StoryTell Hub,Media/Entertainment,Podcast,Urban,20000000,150000000,5,70,High,22.0,Medium,65,Low,66,64,28,High,Content cost,Chennai,Sequoia,Seed,246864243,2025
226,02/08/2024,LiveEasy Hub,Real Estate,Co-working,Urban,2000000,5000000000,80,74,Medium,12.3,Low,75,Medium,70,71,27,High,Regulatory complexity,Bangalore,Nexus,Private Equity,135410208440,2024
227,02/01/2024,QuickCart India,E-Commerce,Reseller Platform,Pan-India,2000000,1000000000,30,73,High,15.3,Low,72,Medium,75,56,18,High,Flipkart/Amazon dominance,Jaipur,Accel,Series B,5119262422,2024
228,03/12/2025,TutorAI Network,EdTech,Corporate Training,College Students,200000,10000000,5,80,High,25.8,Low,60,Low,95,71,32,Medium,Post-COVID demand drop,Mumbai,Elevation Capital,Series C,22893361082,2025
229,01/08/2024,WealthWise Network,FinTech,Digital Lending,Pan-India,1000000,50000000,4,85,High,34.7,Medium,75,Low,87,70,37,Medium,Trust deficit,Mumbai,SAIF Partners,Series D,9767852378,2024
230,15/01/2025,StreetShop Labs,E-Commerce,B2B Marketplace,Bharat,5000000,50000000,5,83,High,19.8,Low,61,Medium,57,64,26,High,Logistics costs,Chennai,Elevation Capital,Series A,1772089271,2025
231,23/11/2025,CoWorkX Platform,Real Estate,Co-working,Corporate,200000000,600000000,20,66,Medium,14.9,Low,67,Medium,72,69,18,High,Capital intensity,Chennai,Helion,Series C,11367328278,2025
232,02/03/2026,WasteToWorth Technologies,CleanTech,Energy Storage,Pan-India,5000000,500000000,8,75,Low,54.0,High,82,Low,96,86,26,High,Long payback period,Mumbai,Accel,Series B,4844632091,2026
233,07/07/2025,WasteToWorth India,CleanTech,Battery Swapping,Urban,100000000,400000000,40,76,Low,32.2,High,77,Low,90,96,34,High,Long payback period,Pune,Accel,Series B,7648861772,2025
234,09/04/2024,TalentOS Labs,SaaS/Technology,Cloud Infrastructure,SMB,2000000,50000000,8,95,High,38.1,High,63,Low,71,80,33,Medium,Pricing pressure,Pune,Tiger Global,Series C,6705291232,2024
235,25/02/2026,SoilSmart Hub,AgriTech,Supply Chain,Tier 2,300000,300000000,4,75,Low,30.9,Medium,62,Low,97,87,26,Medium,Seasonality,Ahmedabad,Beenext,Series C,7739338030,2026
236,17/03/2025,RegionalVoice Hub,Media/Entertainment,Creator Economy,Regional Language,1000000,30000000,5,83,High,13.5,Medium,69,Low,65,69,16,High,User retention,Delhi,Lightspeed,Series C,11513646330,2025
237,17/08/2025,NutriFit India,HealthTech,Fitness App,Urban,10000000,150000000,20,94,Medium,22.3,High,75,Low,89,90,37,Medium,Data privacy issues,Hyderabad,Lightspeed,Series B,7390412406,2025
238,24/02/2024,PropSmart Plus,Real Estate,Smart Homes,Urban,50000000,300000000,40,77,Medium,14.3,Low,77,Medium,74,67,24,High,Regulatory complexity,Chennai,Tiger Global,Series B,7894709737,2024
239,17/05/2024,MedEase Technologies,HealthTech,Teleconsultation,Urban,10000000,500000000,8,82,Medium,21.6,High,78,Low,98,86,37,Medium,Data privacy issues,Hyderabad,Eight Roads,Series D,45112753249,2024
240,10/03/2025,GenomeScan India,HealthTech,Health Insurance,Senior Citizens,2000000,150000000,20,91,Medium,20.4,High,66,Low,94,87,36,Medium,Doctor onboarding,Chennai,Accel,Series C,23436795448,2025
241,16/09/2025,SpaceHub Platform,Real Estate,Commercial RE,Urban,50000000,400000000,80,65,Medium,12.7,Low,80,Medium,80,65,24,High,Long cycles,Delhi,Nexus,Series B,5077776700,2025
242,15/08/2025,SecureNet Hub,SaaS/Technology,HR Tech,Enterprise,500000,200000000,25,83,High,24.3,High,57,Low,68,76,32,Medium,Pricing pressure,Pune,Tiger Global,Series B,3626928796,2025
243,28/06/2024,ZeroCarbon Platform,CleanTech,EV Manufacturing,Pan-India,2000000,500000000,8,79,Low,44.9,High,69,Low,95,97,33,High,Policy dependence,Ahmedabad,Blume,Series C,5392677661,2024
244,12/02/2025,TalentOS Labs,SaaS/Technology,Cloud Infrastructure,Startups,2000000,500000000,25,89,High,26.7,High,71,Low,73,68,37,Medium,Churn,Delhi,Lightspeed,Series B,2761179420,2025
245,29/10/2025,CreatorHub Network,Media/Entertainment,Esports,Tier 2,300000,150000000,60,80,High,18.0,Medium,62,Low,73,58,23,High,User retention,Delhi,Lightspeed,Seed,47687100,2025
246,12/08/2024,GreenBuild Labs,CleanTech,Energy Storage,Pan-India,2000000,20000000,80,77,Low,31.4,High,71,Low,97,95,23,High,Long payback period,Bangalore,Lightspeed,Series D,16632940732,2024
247,07/11/2025,DevFlow Pro,SaaS/Technology,Cybersecurity,SMB,5000000,200000000,8,94,High,23.3,High,56,Low,72,80,38,Medium,Long sales cycles,Pune,Tiger Global,Series A,1795203658,2025
248,26/02/2026,RentPro Platform,Real Estate,REITs,Urban,200000000,1000000000,8,66,Medium,8.7,Low,73,Medium,76,55,25,High,Capital intensity,Mumbai,Sequoia,Series D,25892839815,2026
249,04/05/2025,WorkStream AI,SaaS/Technology,ERP,Startups,2000000,10000000,25,93,High,36.7,High,70,Low,63,86,45,Medium,Churn,Delhi,Tiger Global,Series B,2686121102,2025
250,25/10/2025,AgriLink Solutions,AgriTech,Dairy Tech,Rural,8000000,20000000,10,77,Low,36.3,Medium,71,Low,92,80,32,Medium,Last-mile connectivity,Nagpur,Beenext,Series A,958506186,2025
251,20/10/2025,ConstructAI Pro,Real Estate,Affordable Housing,Corporate,2000000,50000000,20,66,Medium,11.4,Low,66,Medium,74,58,21,High,Regulatory complexity,Hyderabad,Helion,Private Equity,96016098232,2025
252,27/04/2025,WealthWise India,FinTech,Stock Trading App,Delhi NCR,1000000,5000000,6,95,High,18.8,Medium,64,Low,73,79,37,Medium,High competition from incumbents,Bangalore,Nexus Venture,Seed,121726968,2025
253,28/11/2024,TruckEasy Hub,Logistics,Rural Logistics,Tier 2,20000000,100000000,10,88,High,15.9,Medium,62,Medium,63,63,22,High,Asset intensity,Hyderabad,Tiger Global,Series B,8192419802,2024
254,13/05/2025,MoneyMap India,FinTech,Payment Gateway,Urban,500000,50000000,12,90,High,29.8,Medium,61,Low,74,85,32,Medium,Trust deficit,Delhi,SAIF Partners,Series A,2355427536,2025
255,22/12/2024,DroneKisan India,AgriTech,Dairy Tech,Tier 2,1000000,5000000,30,68,Low,31.9,Medium,77,Low,93,85,25,Medium,Last-mile connectivity,Pune,Accel,Seed,177440172,2024
256,18/10/2024,CleanDrive AI,CleanTech,Energy Storage,Industrial,100000000,400000000,8,92,Low,34.4,High,65,Low,95,93,23,High,High capex,Ahmedabad,Blume,Series C,9331720188,2024
257,25/01/2026,BazaarPro Platform,E-Commerce,Subscription Box,Tier 2 Cities,500000,1000000000,50,87,High,12.5,Low,68,Medium,59,56,27,High,Unit economics,Hyderabad,Accel,Series B,3845929172,2026
258,09/12/2025,WealthWise India,FinTech,Insurance Tech,Urban,500000,200000000,12,88,High,20.9,Medium,65,Low,77,74,37,Medium,High competition from incumbents,Mumbai,Nexus Venture,Series D,47001280765,2025
259,15/01/2024,AgriPay AI,AgriTech,Cold Chain,Tier 2,3000000,300000000,30,72,Low,36.3,Medium,78,Low,87,78,24,Medium,Farmer digital literacy,Hyderabad,Omnivore,Seed,339929335,2024
260,26/03/2024,ResellerNet India,E-Commerce,Subscription Box,Tier 2 Cities,2000000,200000000,15,79,High,18.5,Low,57,Medium,55,65,28,High,Unit economics,Jaipur,Accel,Series C,23769612420,2024
261,21/12/2025,AIPlatform India,SaaS/Technology,ERP,SMB,5000000,10000000,15,88,High,35.6,High,72,Low,78,74,30,Medium,Pricing pressure,Delhi,Tiger Global,Seed,402296487,2025
262,11/02/2024,NewsFlash Network,Media/Entertainment,Audio Content,Regional Language,300000,30000000,8,78,High,15.1,Medium,58,Low,75,67,26,High,Monetisation difficulty,Noida,Lightspeed,Series A,1166581840,2024
